,,CEQ,CEQ,CEQ,CEQ,CEQ,CW,CW,CW,CW,CoT
,,change_case,startend,wrapping,json_format,Avg.,bullet_lists,keywords,length_constraints,Avg.,CoT Acc
model,Setting,,,,,,,,,,
qwen,Zero-shot,0.03333333333333333,0.10666666666666667,0.03333333333333333,0.24666666666666667,0.10500000000000001,0.6962962962962962,0.51,0.42094942094942095,0.5424152390819057,0.13668070175438565
qwen,ICL,0.024166666666666666,0.2366666666666667,0.030000000000000002,0.10500000000000001,0.09895833333333334,0.569675925925926,0.63625,0.3935793951418951,0.5331684403559404,0.1749035087719297
qwen2,Zero-shot,0.7933333333333333,0.7200000000000001,0.22,0.0,0.43333333333333335,0.8685185185185186,0.75,0.5528124653124653,0.723776994610328,0.2833859649122807
qwen2,ICL,0.555,0.6266666666666667,0.17916666666666667,0.0025,0.3408333333333333,0.7704861111111111,0.82625,0.579221472971473,0.7253191946941947,0.5707061403508771
blsp-emo,Zero-shot,0.8066666666666666,0.6266666666666666,0.48666666666666664,1.0,0.73,0.7796296296296297,0.5700000000000001,0.5877629315129315,0.6457975203808538,0.6079473684210522
blsp-emo,ICL,0.5066666666666667,0.4741666666666667,0.5175000000000001,0.0175,0.37895833333333334,0.8288194444444444,0.5575,0.684481721981722,0.6902670554753888,0.9375855263157893
desta2_5,Zero-shot,1.0,0.9466666666666667,0.9133333333333332,0.9866666666666667,0.9616666666666667,0.9101851851851852,0.8799999999999999,0.8150095275095275,0.8683982375649042,0.8707368421052629
desta2_5,ICL,0.9233333333333333,0.6291666666666667,0.7841666666666667,0.31999999999999995,0.6641666666666667,0.961574074074074,0.88625,0.909303746022496,0.9190426066988566,0.9808969298245612
