model,Setting,CoT Acc
qwen,Zero-shot,0.13668070175438565
qwen,ICL,0.1749035087719297
qwen2,Zero-shot,0.2833859649122807
qwen2,ICL,0.5707061403508771
blsp-emo,Zero-shot,0.6079473684210522
blsp-emo,ICL,0.9375855263157893
desta2_5,Zero-shot,0.8707368421052629
desta2_5,ICL,0.9808969298245612
