model,Setting,CoT
qwen2,Zero-shot,0.3058734530123755
qwen2,One-shot,0.3339523712381728
desta2_5,Zero-shot,0.9248608844462575
desta2_5,One-shot,0.9954570292857142
blsp-emo,Zero-shot,0.5785203885035582
blsp-emo,One-shot,0.8453579038034359
qwen25_omni,Zero-shot,0.5891206537014367
qwen25_omni,One-shot,0.5302276603104983
gemini-2.5-flash,Zero-shot,0.9736842105263157
gemini-2.5-flash,One-shot,0.9981203007142857
