response_task,,CEQ,CEQ,CEQ,CW,CW,CW,CoT,CoT,CoT
audio_task,,ASR,GR,SER,ASR,GR,SER,ASR,GR,SER
model,Setting,,,,,,,,,
qwen,Zero-shot,0.14,0.05,0.125,0.5033333333333333,0.5717171717171717,0.6041514041514041,0.236842105263157,0.0232,0.15
qwen,ICL,0.11875000000000001,0.07,0.108125,0.5028819444444445,0.503873556998557,0.504811507936508,0.18421052631578913,0.162375,0.17812499999999998
qwen2,Zero-shot,0.44,0.485,0.375,0.673611111111111,0.7671536796536798,0.7294261294261294,0.263157894736842,0.162,0.425
qwen2,ICL,0.34125,0.40187500000000004,0.27937500000000004,0.7233333333333334,0.6680938852813852,0.6845924908424909,0.44736842105263114,0.42100000000000004,0.84375
blsp-emo,Zero-shot,0.8099999999999999,0.69,0.69,0.6518055555555556,0.6691558441558441,0.6892246642246642,0.236842105263157,0.837,0.75
blsp-emo,ICL,0.3775,0.38125,0.378125,0.6771527777777778,0.7551452020202021,0.777827380952381,0.927631578947368,0.897625,0.9875
desta2_5,Zero-shot,0.975,0.955,0.955,0.8836111111111111,0.8166305916305916,0.8857448107448107,0.684210526315789,0.953,0.975
desta2_5,ICL,0.61875,0.6825,0.69125,0.9121701388888889,0.9290268759018758,0.9521596459096459,0.9638157894736836,0.985125,0.99375
