model,Setting,bullet_lists,keywords,length_constraints,Avg.
qwen,Zero-shot,0.6962962962962962,0.51,0.42094942094942095,0.5424152390819057
qwen,ICL,0.569675925925926,0.63625,0.3935793951418951,0.5331684403559404
qwen2,Zero-shot,0.8685185185185186,0.75,0.5528124653124653,0.723776994610328
qwen2,ICL,0.7704861111111111,0.82625,0.579221472971473,0.7253191946941947
blsp-emo,Zero-shot,0.7796296296296297,0.5700000000000001,0.5877629315129315,0.6457975203808538
blsp-emo,ICL,0.8288194444444444,0.5575,0.684481721981722,0.6902670554753888
desta2_5,Zero-shot,0.9101851851851852,0.8799999999999999,0.8150095275095275,0.8683982375649042
desta2_5,ICL,0.961574074074074,0.88625,0.909303746022496,0.9190426066988566
