model,Setting,change_case,startend,wrapping,json_format,Avg.
qwen,Zero-shot,0.03333333333333333,0.10666666666666667,0.03333333333333333,0.24666666666666667,0.10500000000000001
qwen,ICL,0.024166666666666666,0.2366666666666667,0.030000000000000002,0.10500000000000001,0.09895833333333334
qwen2,Zero-shot,0.7933333333333333,0.7200000000000001,0.22,0.0,0.43333333333333335
qwen2,ICL,0.555,0.6266666666666667,0.17916666666666667,0.0025,0.3408333333333333
blsp-emo,Zero-shot,0.8066666666666666,0.6266666666666666,0.48666666666666664,1.0,0.73
blsp-emo,ICL,0.5066666666666667,0.4741666666666667,0.5175000000000001,0.0175,0.37895833333333334
desta2_5,Zero-shot,1.0,0.9466666666666667,0.9133333333333332,0.9866666666666667,0.9616666666666667
desta2_5,ICL,0.9233333333333333,0.6291666666666667,0.7841666666666667,0.31999999999999995,0.6641666666666667
